Review,Sentiment
"Reception unimpressive, hotel very faded and worn, extremely expensive for everything, food priced at 5 star big city eg new york levels especially the snack restaurant. Also you are in the middle or nowhere so you have no options but to eat the lukewarm food at crazy prices. Transportation manager tries to up sell you continuously on a bigger car. V pushy. Obviously on commission, he is more expensive than if you ask at reception when he is not there. We booked the hotel because of its ratings. However the good ratings are very old, newer ratings are v bad but average is still high which is inaccurate. It hasnt been refurbished in over 10 years. We booked for three days and would have left immediately on arrival. However be warned the cancellation policy is to charge you for the full stay, which is not made very clear when you book. It's all very buried in the small print. Be warned. I would avoid this overpriced unwelcoming 3 star at all costs. If you have to see the location, go for lunch or dinner.",Negative
this is the worst 5 star hotel I lived.The waiters are kind to western in the restraunt.but the waiter asked my room number again and again.It made me feel unrespect.We lived in 5 star hotel need good service.But it even worse than homestay here.Before I came，I heard they give the worst room to Chinese people .It is true.Maybe Chinese people shouldn't choose this hotel.,Negative
"""Uncooked food, mouse”

The swimming pool is nice but not clean at times. There are mice. Staff addressed issues but didn't really give reasure us that this will not happen again. COLD, uncooked food! ",Negative
In need of an update,Negative
just one sentence: overrated and overpriced,Negative
"The hotel location and view are very good. We had booked 2 rooms with a 40% discount but this does not mean that the hotel should give us very old, not clean rooms. The bathroom's curtains were disgusting, the rooms not clean. Very disappointing.",Negative
"The view from the hotel is amazing. However, the service was bad and the hotel itself is old. The staff were either not educated or just no motivation to provide good service to the customers. Examples are that they got us the seats in the dining area but didn't provide us with menu, or that they didn't have any greeting or even a smile when seeing customers passing by them. We were very disappointed during our stay.",Negative
The service at kandalama was disappointing. Staff seemed lazy standing around looking at the pool talking not offering menus or assistance. Meals came out at different times. Mixed up massages we booked. Terrible take away breakfast. No offer to collect bags from room,Negative
"Scenery, use of rocks in the design, managers response to complaints",Negative
"this hotel is a nice novelty place to stay when in the area. we booked a standard room and were upgraded on arrival to a suite on a higher floor which was excellent! love the jacuzzi overlooking the forest and the room itself was massive, with dvd player, rain shower, and separate living space. however, the majority of the staff were quite useless and, at times, even rude. we asked if there was anyone else leaving the hotel at the same time as us, in order to share a taxi to the airport. we were told no immediately, without anyone at reception actually looking it up. it seemed we were a great bother to them. the breakfast buffet was quite good, but other meals were quite lacking, espeicially dinner in the ""fine dining"" restaurant. overall, i would recommend this for a novelty, and only if you can get upgraded to a suite.",Negative
Disappointing,Negative
Large hotel but service was dreadful. There was no record of my prepaid booking on check in and it took forever to sort a room out. Good news is that they upgraded us to a suite for the inconvenience.,Negative
"Over-priced, its a stunning place (the location), the hotel does have monkeys running everywhere so expect stuff to be taken, the staff is friendly. Facilities are usually not available to not clean (expect mice!). It was a disappointment came in expecting to be relaxing but the whole time we had to address issues. Food was cold, took over 2 hours for food to come, and most we're uncooked.",Negative
Food are not good as too high hotel prices.,Negative
"Architecture, which was cutting edge in it's day. Although looking tired now.

The hotel is situated in a fantastic spot overlooking the jungle. It is an extremely large hotel and we found it very impersonal. The rooms were very expensive, small and tired. The food was adequate but based on the prices charged should have been much better. The food was mainly buffet style. ",Negative
"""Scary Hotel”
Alote of monkeys surrounding the area try to get inside my room",Negative
Room aircon not working. Nice setting but maintainance lacking.,Negative
"Has to be refurbished and given a thorough moderni”
Peace breakfast scenery

Not too bad .Nothing exceptional ",Negative
"Very basic room furnishing”
Location

Location and views are good. Rest is at most 4 star if even that. Lots of hidden charges too. Not coming back.",Negative
"we stayed during the christmas holiday season. while i understand that hotel prices generally go up significantly during this time of the year, our stay was not worth the money paid. the service was good, but not of a five-star hotel. the hotel is built on a rocky slope, which brings nature close. but one of the drawbacks is that natural lighting is quite limited even during the day if you stay on lower floors and on the mountain side. ",Negative
"Heritance Kandalama is located in an outstanding view but that does not eliminate all its bad functionalities. For starters we booked with breakfast but Agoda messed up and we had to pay extra. The room is very noisy and you can hear everything from the corridor. The soup they served us looked like an hospital soup. The staff was not very attentive. Price - quality is not worth it. Only for the view, that made us enjoy the stay. ",Negative
Frankly speaking this is one of the best designer hotels. Ground staff is great but not the management. During my stay my room had been messed up by Monkeys.AUD 700 worth of my properties had been damaged.But no one from management took the accountability.My door was closed during the incident.Hotel staff was saying it was caused by Monkeys.But now I am bit doubt. ,Negative
"Nice views , but hotel itself needs complete refurbishment. Rooms very tired and missing extras that is normally expected of a 5 star hotel. Public areas sterile and sparse with nowhere comfortable sofas etc to sit on and dining room feels like a school cafeteria. Infinity Pool very nice but very squashed and very few sun beds as there is not enough room to cater for the large groups of tourists in this large hotel. However food was very good with vast breakfast buffet. ",Negative
