Review,Sentiment
"Room was great. Bed was comfortable. Location and view was excellent. Great selection of food for breakfast, lunch and dinner buffet. Some hit or miss with regards to food (beef always tough. Some items undercooked) but otherwise great. Local food selection was extremely delicious and we enjoyed trying it out. We chose this because my toddler loves animals and it did not disappoint. He saw monkeys in our balcony and everywhere around the property.",Positive
"the hotel is located in the jungles habitat by monkeys on the lakeside, the view is fantastic",Positive
"Beautifully located in the middle of the jungle by a lake. Great place to escape, zen out. Rooms are tasteful. Buffet had a decent variety of options. prices of rooms are great for what you get.",Positive
I loved the nature and the peaceful nature of the hotel,Positive
"the amazing facility
the amazing food featured
most importantly well trained staff",Positive
Food and friendly staff,Positive
"Lovely hotel in beautiful location. Staff so friendly. When I mentioned that it was my husbands birthday, the young lady in the cafe had a delicious birthday cake sent to our room. Such a thoughtful touch.",Positive
"cery buce room (suite)
very big
excellent dinner",Positive
"Beautiful Bawa-designed hotel, built into the side of a mountain with stunning views.",Positive
"The hotel is unarguably a nature immersed gem with vines and plants growing all around the walls with which the monkeys that greet you good morning at your balcony navigates. With wild elephants and the sound of pure nature overlooking a big lake this hotel is purely worth every minute taken to reach. During the night you can see the fireflies flickering around the whole area.
The facilities were top notch with beautiful decor and architecture that is mind blowing.",Positive
Dinner and breakfast was excellent. Staff were very friendly and always there to facilitate us.,Positive
The remote location and the surroundings are so beautiful and give you the space to relax and disconnect.,Positive
"Hotel architecture and location are amazing, close to main spots like Sigiriya and Polonnaruwa, comfortable interconnected rooms, monkeys on the balcony, good dining, excellent staff and service. Nothing to complain!",Positive
"Nature, atmosphere... .mostly, i loved oriental music with super talented musicians 💖 I couldn't get away myself listening to them.
Cleaning personnel are great. especially Mr. Ruwan, he does his job with full of joy & satisfaction👍beautiful creative elephant & the hanging monkey awaiting in the room...wow, keep going",Positive
"Fantastic location, excellent service throughout stay. Food amazing and surrounding wildlife incredibly. Wished we’d stayed longer!",Positive
It is really a beautiful place,Positive
Definitelly best hotel in that location with the best service at all,Positive
"WOW
Food
wildlife
design
architecture tour",Positive
"Wonderful architecture, blends in with nature. In the middle of the jungle with monkeys, birds, lizards and elephants. Three swimming pools, all clean and with a great view. Breakfast and dinner from a standing table great! Friendly staff. This hotel is worth staying at!",Positive
"Mind blowing Jeffery Bawa’s architecture with amazing view of the Kandalama Lake. Heritance Kandalama is a hidden gem in the middle of the jungle. Staff was super friendly, we felt so welcomed. Meals were fantastic and the view was mind blowing. We would have stayed few more days if not for our flight the day after. Kandalama will stay in my heart forever. ❤️",Positive
"Everything. This is a real treasure in the jungle. Extraordinary design. We spent 4 days sipping every minute at this fantastic place. It's huge! We walked around the building from one side to another as part of our daily sports routine. We played table tennis. We visited all 3 pools. We had a monkey invasion (that's why you can't leave the balcony doors open), it was such an experience! We had delicious and very long lunches overlooking the beautiful scenery for only 17 euros per person. Spacious room, delicious breakfast, nice area around the hotel. 150€ per night totally worth it.",Positive
Booked a suit as we planned to stay 3 nights. This hotel is not a place to stay only a night. Do stay longer and enjoy and appreciate what it has been reserved!,Positive
"The experience of being immersed in the jungle setting is incredible. The proximity to wildlife around the hotel is special, including wild elephants and cheeky monkeys.",Positive
Nice and quiet place with monkeys. Affordable nature around.,Positive
"Unique hotel is located in wonderful place! Amazing view on the lake, green surroundings, monkey everywhere also including your balcony of the room) Very friendly and welcomed stuff! Great tasty food for valuable money. Well-equiped sportgym. All hotel building is drown in green grass and plans - incredible, we have never seen before such natural decorations travelling around the world. Great jacuzzi with the panoramic view on the lake.",Positive
The breakfast was absolutely fantastic with an amazing selection of food. The was food for every taste. Could not fault it at all.,Positive
"It’s not just a hotel, it’s an amazing experience, you are staying close to nature and you can meet a lot of animals on the territory of the hotel. The interior of the hotel is very stylish. Staff is friendly. Breakfast was good, nothing like very special but a lot of choices, coffee was good. A lot of options for dinner, you can get buffet for around 20 $ or you can have fancy romantic dining in a cave for approximately 400 $. Small details were well chosen in the hotel, the room is simple but I love it, there is relaxing music that you can turn on and also small candle that you can fire and put near jacuzzi with amazing view.",Positive
"the property was well taken care of, the service was very good.  staff was always there to help out when needed",Positive
