Review,Sentiment
One of the best hotels I have ever stayed in,Positive
Rooms have luxury feel. Appreciate clean fluffy towels and floor towels. Could do with rug next to bed.,Positive
Very inconvenient electrical switches thru' headboard slats. No convenient square-pin plugs to charge mobile phones & laptops. ,Negative
This is a lovely place to base while visiting the ancient cities.  The staff are so friendly with very personal service - the buffet breakfast and dinners were amazing and the view over the lake was stunning.  It is very isolated and not near to any shops or other restaurants but it has everything you need for a great stay. ,Positive
"The hotel is very old and is definitely in need of renovation. Despite all the previous reviews about the lack of sunbeds at the pools, the hotel seems to ignore the feedback. 20 sunbeds for over 100 rooms simply is not enough.

The refrigerator in our room was moldy and dirty. Same for the toilet. How simple can it be to replace a twenty year old yellowish toilet seat?

The food is okay, but far from what you would expect at a 5* hotel. The yoghurts and cheeses are left uniced, so once you will have them at the buffet - they are warm and melting. It doesn't much to improve these kind of things. 

The management is aware of all the feedback, but doesn't do anything to improve. ",Negative
Beautiful hotel. Highly recommended ,Positive
"This is my second and sadly to state the last time to stay at this hotel as while trying to checkout I was bum rushed , as I was trying to be thrown out and unwelcome by a staff member called Sanjeewa as I didn’t go with the taxi that he referred to me which was way too expensive if a regular cab would take a 130 Rupees the one he referred to wants like 70 dollars. 
So when I asked for a late checkout he was really aggressive and unwelcoming the idea. And I’ve checked online if there are rooms that are available and there were more than 18 rooms that are available so I showed him but he didn’t care !


How sad that a hotel like this hire such people. 


",Negative
"Wanted to state how I got an extremely unprofessional way from” Sanjeewa” at the reception as I wanted a 2-3 hours late checkout but he was an unwelcoming and very offensive. 

How sad that a hotel like this hire such people. 

I guess all this is that because I didn’t use the taxi that he referred to which is X 200 times more expensive than the normal ones. 

And the star that I put is for the look from inside the room that many will like. ",Negative
Amazing hotel in a great remote location and wildlife around.,Positive
It is a beautiful place to stay. We enjoyed every minute of our stay ,Positive
Beyond amazing view and stellar service we had an excellent and restful two nights. The only thing that didn’t work was our room phone! Good thing there’s one in the bathroom too:) get a room on the upper floors the view is worth it. ,Positive
Needs alot of improvement in all sectors ,Negative
Disappointing food ,Negative
"This hotel has had its day.  It looks tired and dated. In our room the spa, toilet and safe didn't work. The buffett is ordinary. I would not stay here again.  ",Negative
"Unique architecture in a wonderful green area. Food, service and accomodation outstanding",Positive
It’s built into the caves! It has a beautiful view of Sigiriya. Lovely stay.,Positive
We got a room of sigiriya wing. The view would be better at dambula wing. There was a musty odor in the room.,Negative
"This place is meant to be an architectural wonder - and if you like miles of black marble, reinforced concrete and metal pillars it is. But it’s not my bag. However the setting is lovely, the staff are wonderful attentive kind and fun - and the food is AMAZING.",Positive
"It was an amazing being that close to nature. The kind staff and fascinating view made it easier to relax. The design is incredible, how they managed to build the hotel around the rocks. This was definitely worth it",Positive
"For a five star property the service was not good. The first day we were there electricity kept going off and on, like 5xwhile we were eating and when we were back in our room. We had an extra guest in one room,our driver. and we were told we just had to pay for breakfast buffet but they ended up charging me $100usd a night , for two nights. The next morning for breakfast my husband was in dress shirts and a vest as we were heading out to Sigirya and he was told to change his top whereas there were many people in swim wear. There was a lady in a bikini and eating and was not told to change. Poor service will not recommend",Negative
"Beautiful surroundings. The hotel is slowly being taken over by the jungle and it could use a bit of a refresh. The rooms are quite spacious, with amazing views over the jungle (had the jacuzzi room). Beware of the monkeys- they come over to the balcony and try to get in the room and steal food.",Positive
"Food, facilities & staff are excellent. Nature lovers, make it a point to visit this hotel. There is a vast history behind this place and surroundings. Travelers should read through this history b4 embarking the journey towards Kandalama. 
Overall a memorable experience.",Positive
"Room, foods, pools, spa, nature around the hotel are amazing.
Only negative thing is you have very limited activity option and hotel is very silent, especially for evenings",Positive
"Location is amazing and the hotel is 1 on long. Staff is very friendly and helpful. The breakfast buffet as well as evening buffet are to die for. A huge selection of Sri Lanken as well as European food. Unfortunately our room wasn’t very clean and the bathroom is very run down, stainless steel and windows look very old and not polished which gives you almost the feeling it wasn’t cleaned. However after speaking to the manager we were upgrade to a better room however the bathroom issue still continued. All over I would def be back at Heritance Kandalama",Positive
"I really wanted to like this hotel. Friends who have been all say I'd love it. Unfortunately, I didn't have that experience. 

The architecture of the building is amazing, blending very subtly into its natural environment, with rock face forming parts of the building's walls,  and creepers covering the external wall further camouflaging the building into natural surrounding. It is teeming with birds, squirrels and other animals, plus the view to the lake is really beautiful.

But, when you look closer, upkeep and maintenance of the place seems lacking. From very stiff sliding doors of the cupboards in the rooms, to accumulation of bird droppings in some corners, to patchy lawns and poorly paved pathways, to dark corridors that make parts of the sprawling property seem a little eerie. 

Our mattress had seen better days and was too soft, and the hotel was not able to offer alternatives. 

Service staff try but could be better trained to be more customer and service oriented. ",Negative
"Everything was perfect, location, food, staff, but the room has to be renovated, it needs to be more refurbished",Positive
"The view from the infinity pool was magnificent- could see across the valley, horses grazing - and the back drop of the hills.
Buffet dinner was the best we had in Sri Lanka. Rooms were spacious and we had interconnecting room with our teenage children",Positive
Everything about this place was special.  the check in process was a bit slow,Positive
"This was an amazing place to stay, and we're so happy we picked it! The views from the rooms & swimming pools are incredible. The bathroom was nice and clean, and the jacuzzi bath overlooking the lake was spectacular! The team also organised a birthday cake for us, which was a really nice touch. Highly recommended!",Positive
Facilities are a bit old.,Negative
"One of a kind hotel in the nature. Supper breakfast and good food in the restaurant.
Best value for money ",Positive
"Location and view make it very special. The buffet dinners feel very cafeteria-like, not consistent with the architectural quality of the property. The staff are the most hospitable and helpful I have encountered.",Positive
"Never have I encountered such apathetic, unhelpful staff. This is not a 5 star hotel by any means and was the worst hotel I stayed at during my 8 days in Sri Lanka. This hotel has so much potential and beautiful architecture, but the service is atrocious.",Negative
"Ideal location to use as a base to explore the area. Wonderful staff, who were very attentive. We would highly recommend Heritance Kandalama.",Positive
"Nice hotel, amazing scenery. However need more control measures in place to ensure creatures cannot enter the bedrooms. ",Positive
"Upgraded to the royal suite was an unexpected surprise. 
The hotel is amazing. Staff are friendly and very helpful. 
Would highly recommend paying half board when booking. ",Positive
"I wanted to love this hotel but just couldn't. The architecture and the whole concept of this hotel is amazing however it is so outdated internally that the whole place needs a huge refurb. The rooms are extremely run down and all the tapware was badly corroded. Although tidy it still just seemed very dirty and not comfortable in any way. Also the public pool areas are tiny for the size of the hotel and there are never any sunbeds available and it always seemed crowded. There are so many more beautiful accomodation options in Sri Lanka that hardly get any recognition and are 100 times better and more eco friendly than this place. 

On a positive note the staff are very friendly and helpful and the food was great!  

",Negative
