Review,Sentiment
"Highly recommended luxury stay !
I spent my honeymoon there. Support given by each and every hotel members are marvelous, specially Mr. Dilanka Thirimanne.
Place is wonderful. Thank you all for your lovely service !",Positive
Great,Positive
"Buildings are old. The bathroom and the fridge etc was dirty. Overall room cleanliness should be improved. In addition it is crowded. Workers are good, but normally sri lankans provide good hospitality even if you go to a village home.",Negative
"A truly beautiful Hotel built by Bawa with a spectacular view surrounding the entire hotel. One of my favourite places to visit in Sri Lanka as the experience is not like any other 😁.

The staff were incredibly friendly and so homely. Thank you Kandalama staff for your hospitality, I can't wait to come back again 😆❤️!!!",Positive
Excellent stay with the calm and quiet adding to a wonderful holiday. The service was amazing and the food very good. I totally enjoyed my stay.,Positive
"If you want to stay in this hotel you must try 5 th floor upwards ,room number 501-518 are better , you can have a better view of the lake ,other Rooms in 5 th floor, the view is covered by trees and you can’t see the lake",Positive
"Highly recommend!
Stayed in Luxury suite. I would highly recommend to anyone for a luxurious and unforgettable hotel experience. With its stunning location, exceptional service, and world class cuisine, it’s truly one of the best hotels in Sri Lanka.",Positive
"This one is all location. At a distance from Sigriya Rock and comfortable . An older property, so to be prepared for that.",Positive
Excellent travel destination 😊😊,Positive
"Strangely unpleasant place. Food 4/5. Room 3/5. Check in experience 0/5. Service 2/5. Value for money 1/5. Even if offered a free suite, I would never go back. A bad hotel can have a good view and still be a bad hotel. Most of the reviews are fake, notice how many of the reviewers have only written 2 reviews for example.",Negative
Best place in the world,Positive
"Incredible hotel. They gave us a 2nd floor room for the first night even though we wanted a Lakeview. For the second night they upgraded us at no cost.

Great opportunity to see monkeys up close, you just have to be careful and respectful.",Positive
Architectural miracle and master piece by the great Jeffrey bawa. Great food and ambience..the staff has made the wifi passwords are too complicated..apart from that everything is fine.,Positive
"Exceptional.

We stayed in kandalama and it was a delightful experience. Staff was extremely helpful and very polite. The food was out of this world. We really enjoyed the buffets which had a massive variety and choices to compliment one another. The hotel itself was stunning. This is a must stay if you havent been. Hats off to the kandalama team for making it an unforgettable stay. Keep up the good work.",Positive
Great location with great scenery. Hospitality could have improved as they don't provide the extras included in the package unless you ask.,Positive
As always a great experience. Thank you to Dhilanka and his team. Always available to cater to all our needs.,Positive
Great hotel with magnificent view of the lake. Stayed for one night. Delicious food and really enjoyed the stay.,Positive
It was a wonderful experience and provided a comfortable stay,Positive
Had one of the best stays in the hotel. Amazing views and took a great break from the daily rush. Yoshina from the guest relations team was very helpful throughout the stay and took care of our entire group which was a large group of 16. The staff was very friendly and accommodating. The awurudu events were organized very well and we enjoyed all of them. The pools were beautiful and maintained very well. Hands off the best 4 days we've spent in a hotel.,Positive
Great experience...!!!,Positive
"We had such a pleasant Avurudu holiday at the Kandalama Hotel. The highlight being the typical village setting and Avurudu activities that had been planned for the guests: it was done excellently well and everyone enjoyed the fun and entertaining performances especially by the village idiot and compere.
The hotel staff were very helpful and courteous and went the extra mile to make it a relaxing holiday. The food was excellent and the rooms were very comfortable with breathtaking views of the exotic splendor of our country.

Thank you team Kandalama!",Positive
not bad.,Negative
"It was not a good experience as others views it. It was so crowded and had fewer staff to support guest arrivals. A lot of guests waited more than one hour to check in. We were allocated 2 floors which is the basement. We requested higher rooms at any price but it was not materialized. Finally, we decided to change the hotel to another. We may be the few guests who turn back from this kind of 5-star hotel. Although there were good comments, it was not well organized and need more staffs to be employed. Will see again with good hopes...
When you book rooms please ask the level or floor of the rooms. If you get 2 and 3 floors .. you don’t have view and dark view. Entrance side only rock. I think better to select from 4th floor and above.",Positive
"We went for our honeymoon, and I just can't recommend this hotel enough. The room was awesome, with literally all the facilities you could ask for. The food was top-notch as well. The staff was really friendly and helpful. They had somehow missed some complimentary items that they give for the honeymoon offer, and once it was notified, a manager came and personally apologized for their mistake and gave us homemade jam and a chocolate platter in a wooden box. This was really an awesome experience.",Negative
Highly recommended.  Excellent service    from all staff members.  Belend  with nature  atmosphere.,Positive
Great place,Positive
"In my opinion, Heritance Kandalama is the best hotel in SriLanka. It’s on a level which is in matched level from others. Great food, Great staff. Heavenly atmosphere, Great architecture!!!",Positive
"Though we booked a triple room, after they accompanied us to the room they have not arranged it as a triple room. After half an hour they arranged the bed but not others. We had to asked separately mug, glass, towel, etc. each and every time we need same. They informed us that the room was ready when we were at our lunch table. They have to check everything before informing us since we didn't even rush them.",Negative
Heritance Kandalama must be renovated.,Negative
"The only inland resort hotel in the work of Sri Lanka's leading architect Geoffrey Bawa. The rocky mountain and jungle in the background are integrated, and rocks are boldly incorporated into the lobby. The infinity pool, which is said to have been invented by Bawa, melts into the Kandalamana lake in front. Over there you can see Sigiriya Rock and Pidurangala Rock. The lake view room is a bright room where not only the bedroom but also the bathroom is glass to the ceiling. However, since it was built 30 years ago, it cannot be denied that the facilities are old and inconvenient. Since it is far from the city, naturally we will use the restaurant in the hotel for three meals. The breakfast and dinner buffets, as well as the lunch prefix course, have a wide variety of menus, so it seems that there will be no problem even if you stay for several nights. The price is very reasonable and I am happy. Beginning with a welcome drink, traditional musical instruments played by the pool at sunset, the luxurious and elaborate interior, and the wild monkeys everywhere, there is hospitality that can only be found here in both hard and soft aspects.",Positive
"Beautiful hotel in a wonderful location. The buffet was very good, and I loved the food. However, the superior rooms were smaller than what I expected. I recommend choosing rooms above the superior level. There are plenty of places for sightseeing in and around the hotel, and the service was good. The pool is also great. An excellent place to stay for nature lovers.",Positive
Excellent location with breath taking views. Food was divine and staff was very polite and attentive. Highly recommended,Positive
FANTASTIC STAY. THANK YOU BAWA. THANK YOU ALL FANTASTIC STAFF AT HERITANCE 🤍,Positive
"The five-star hotel in the forest is also built on the mountain, without excessive excavation and development, and the water and soil are kept natural and green. The service is in place.",Positive
"An amazing stay ! Friendly staff, top notch amenities and breathtaking views. 11/10 recommended.",Positive
"Geoffrey Bawa architecture, a hotel with the concept of being one with nature. The building itself is 1km long. As expected of Bawa, no matter where you cut it, it will be a picture. There is the famous original infinity pool and two other pools where you can swim in nature.
Breakfast and dinner are buffets, and lunch is course only. The restaurant is very good value for a hotel of this level. Fresh vegetables are especially delicious at the buffet. Sri Lankan cuisine also tastes good, but some people may not enjoy it because there are many spicy menus.
The room is large and comfortable. It's fairly old, so I feel a little aging around the water such as the jacuzzi. There are few outlets, and Japanese products require conversion plugs. Digital detox recommended.",Positive
"An architecturally designed  excellent hotel  hidden among trees with a panoramic view over the Kandalama lake, coupled with excellent food and friendly staff",Positive
"Excellent hotel. But it is worth remembering that there are differences between European and Asian hotels. This gives a certain charm and charm, oriental flavor. Pleasantly surprised that the room is cleaned twice a day. The rooms are clean and free of insects. Read reviews about tired rooms. It is and is not at the same time. Due to high humidity and temperature, the external gloss is quickly lost. However, the service, food, breakfasts and dinners are just great. Cappuccino like in the best coffee houses of an old woman in Europe or St. Petersburg. Here everything is very leisurely and relaxing. Complete unity with nature. There is nothing nearby, so take breakfast and dinner, definitely. With quite a wealth of travel experience, this is the first hotel that blends so closely with nature.",Positive
"Beautiful hotel with an original design solution. Fairly spacious room. Clean bathroom. There is air conditioning, safe, refrigerator. Varied and delicious breakfast and dinner.
Several beautifully designed outdoor pools.
Expensive wine in the hotel restaurant.",Positive
"Beautiful hotel with an original design solution. Fairly spacious room. Clean bathroom. There is air conditioning, safe, refrigerator. Varied and delicious breakfast and dinner.
Several beautifully designed outdoor pools.
Expensive wine in the hotel restaurant.",Positive
"We spent our honeymoon at HK 9 years ago, and returned this past Jan. This place never disappoints.

The ambience and the food are incredible, but what makes HK so magical is the wonderful staff, who go out of their way to ensure you have an unforgettable experience.

This time round, we met Chef Dinesh  who encouraged us to tell him what dishes we wanted to learn to make, and his team would teach us. We selected a few dishes we'd already had at HK, and a couple at random.

Dinesh gave us a tour of the expansive kitchen, introduced us to some of the staff, and showed us how to make some of our favourite dishes. Months later, we've mastered his teachings, reliving at home (the best we can) the romance and magic of HK. Thanks Dinesh.

Tranquil, full of character, warmth, and hospitality; this is easily one of our favourite hotels ever visited - and we'll be back again and again, for a truly timeless experience.",Positive
"After 7 full nights in a full economy suite. In experience it is like that. There is no doubt that the hotel is located in a breathtaking landscape and in terms of architectural structure it is adapted within nature and that is special. All this goodness is pleasant when the hotel is not full of families with noisy children and thus loses all the peace and pastoral. One of the most disappointing things when you buy accommodation on a full economy basis is that they ask you to buy water with meals....what happens??? Anything else you order is overpriced. why and why In addition, the cleanliness is lacking and not clean. At the reception they will serve you a glass with a fruit cocktail but during your stay they will tell you that it is only for a reception...insulting. The staff is nice and helpful, all in all a pleasant and pampering experience",Negative
What a beautiful location and the service is second to none..amazing spa treatments as well.. I'd prefer they upgrade their electic socket system though..it was bit difficult as the socket was not near the bed..nevertheless what an amazing experience..if you are not a nature lover not the ideal place though..,Positive
