Review,Sentiment
"What a disappointment! We had heard great things about this hotel, and were excited to visit…. Unfortunately it does not live up to expectations.The building is beautiful and the lake view - incredible. BUT, the hotel is old, the food is average and the decor non-existent. You walk around a building with blank walls, and echoing corridors, to a restaurant with cold, boring, very average food.For the price they charge, this is not worth it. There are plenty of other “special” hotels close by, stay elsewhere.",Negative
"I recently had the opportunity to stay at this hotel and wanted to share my experience. Firstly, I noticed that I was overcharged for the boat trip that I booked through the hotel. The amount billed was significantly higher than the quoted price, which led to some confusion and inconvenience. Additionally, I experienced a couple of maintenance-related issues in my room. The air conditioning unit would not turn off, causing the room to be uncomfortably cold and resulting in a restless night. Consequently, I was awake from 4 am and had difficulty getting the rest I needed. Furthermore, the locker in my room was not functioning properly, which made securing my belongings more challenging than it should have been. These issues combined gave me the impression that the overall maintenance and hospitality at the hotel were somewhat subpar.",Negative
"Came all the way down to my motherland for a holiday. wanted to choose the best hotel to stay in with my family after visiting the eight wonder of the world Seegiriya.Finally, I choose Heritance Kandalama Hotel as it is one of the eco-friendly star hotels in Sri Lanka. This is the second time that I stayed at Heritance Kandalama Hotel. The best hotel I’ve ever been privileged enough to stay at. The gorgeous building and views from the room were amazing. and it only gets more breathtaking when you walk. The rooms were clean, and very comfortable, and the staff was amazing. They went over and beyond to help make our stay enjoyable. I highly recommend this hotel to anyone visiting the Central Province in Sri Lanka",Positive
"Large hotel in a beautiful place and an interesting building. It was busy because it was Independence Day and there were a lot of local families staying to enjoy the weekend. So pools were quite busy and the dining rooms were very busy but because food is buffet style this was not much of a problem. The bar was a bit heartless and definitely not the focal point of the hotel, but one of the two days we were staying was a no alcohol day (I believe these occur monthly) so perhaps that was not surprising",Positive
"My wife and I spent 3 nights in Kandalama. Beautiful hotel, perfect fit for the area. Room was spacious and comfortable with views over the lake. Staff were charming. It is an excellent base for Sigiriya, Dambulla, and Ritigala. Hotel is quite isolated which means guests have to eat breakfast and dinner in the large dining room with buffet offer only. Whilst food was generally good this can get a bit tiring and cruise-like.",Positive
"Great location and amazing architecture. This hotel is a role model for environmentally-friendly luxury accommodation. Great views overlooking Kandalama reservoir. Great Sri Lankan hospitality. However, the Buffet does not stack up to 5-star reputation.",Positive
"We stayed here for 3 nights from December 26th-29th. Overall it was a very pleasant stay at Heritance Kandalama. Rooms were comfy and spacious, food was delicious with an extensive menu and pools were serene. We loved our stay but the dining experience was the highlight. We were warmly welcomed by chef Madhusanka and Dinesh along with their executive chef who always made it a point to check on us and see if everything was to our liking. Also Mr. Lalith (guest services manager) was very sweet and welcoming and always checked up on us. We loved this personal touch to our stay and it made it all the more special. My only complaint is that the check in process was slow and we had to wait for about 25 minutes in the lobby without being attended to by one of their front office staff. We felt that the front office staff were a bit on the slow side when it came to attending to their guests. But otherwise it was a lovely stay and we felt rejuvenated at the end of our stay.",Positive
"We forgot to lock the door at the balcony and monkeys had entered our room when we went out and made a real disaster, stolen our baby's milk bottle , biscuits and turned the room upside down. It was our fault, the hotel had already warned on monkeys and they helped us cleaning the room within few minutes of notice. Everything else is smooth,fine and pleasant . We enjoyed the beautiful views and the food. Buffet offered great food but spread was little compared to the price and comparing to the other hotels of lower price. Our baby loved the Christmas decorations a lot.And they had magic show in the evening and a good event planning.",Positive
"A very spacious and unique hotel that is now showing its age. Check-in was efficient. Check-out was painfully slow. Food is good but again, another hotel that serves lukewarm food! Staff are 'hit and miss'. Some were very friendly. Others bordered on being uninterested. Internet is average. This hotel is an interesting one to write on. As a hotel in terms of room amenities and comfort and overall service - it is average. However, its design, location and integration into the wildlife/nature around it means that is is an absolutely must place to stay for a short visit. The nightlife sounds just blew me away - a lifetime memory. I would go back just for the experience of nature. Unfortunately, the price they charge is way too much for an average and aging hotel.",Positive
"The hotel is a must-visit for anyone to experience its uniqueness. The architecture, the views, and the way the hotel blended with nature are some things we have never seen before. However, we felt the hotel badly need a renovation to upgrade the amenities in the rooms, bathrooms, and common areas to be on a similar scale to other hotels charging a similar price. On a positive note, the customer service is top-notch. The staff here is the friendliest I have ever met. They would always go beyond their limit without thinking twice to help customers. Mr. Lalith, the manager of customer affairs - did a great job at helping us and making our experience a great one. He knew how to impress his clients very well. The staff at the reception and the buffet were also very helpful, nice, and caring to us. We would love to visit them again.",Positive
