Review,Sentiment,Platform
Beautiful and their treatment is very classy and clean and looks more than wonderful,Positive,Google Reviews
"location is good
in general a nice hotel",Positive,Booking.com
"The views from the top are spectacular. We thought the food was good.The rooms are extremely dark and this is not helped by their being painted largely black. The space for suitcases is also painted black, with no light above, so packing has to be done almost by touch.My main complaint was that with everything so hard and dark edged, and with the bed up against the wall to the corridor and up against the doorframe - which was not soundproofed - it was hard to sleep for the noise of people walking up and down the endless concrete corridors and pushing their metal housekeeping trolleys around from before dawn. The AC was noisy and vented its cold air straight onto the bed so that you had a choice of a stiff neck or overheating. The shower floor is of the same smooth black tiles as the walls, with nothing to hold on to, so very slippery and dangerous..It is up to fifteen minutes walk from reception to the furthest rooms, so not at all convenient to pop back after breakfast.The idea that this is built to merge into the landscape is risible. It is as if the Barbican in London had been overtaken by jungle following radical climate change. Sitting outside is not attractive when one can see that the plate glass of your window is thick with insects that may be mosquitoes.If the purpose of a hotel is to provide its guests with a good night's sleep and send them on their way relaxed, then this hotel fails.",Negative,TripAdvisor
"1) My direct online reservation with the property's Head Office Reservation Executives, took MORE THAN A MONTH to finalize my reservation due to delays and incompletions on their part. On the other hand, Cinnamon Lodge Hotel nearby, took less than a day to get back to me with a complete list and details for my initial inquiries. Had I been to Kandalama before, I would have selected the other property (which is reviewed equally well as Kandalama) to save my time and effort. 2) Check in- was not quick even though we arrived 1.5 hrs later than their official check in time (which is 2 pm). And the two luxury suites took the longest time for their check-in, with their best out of the two suites, was delayed 2.5 h from their check-in time and made us wait close to an hour outside after a tired day! Not a Luxury experience to begin with!! 3) House keeping in the rooms, although these were of their premium category (We booked their 2 luxury suites, one spa suite and one of their deluxe rooms), was definitely not 5 Star!! They were clean on ""average"", yet they also clearly lacked attention to the smallest (sometimes even the standard) detail which is expected of a true 5 Star Hotel. eg. Lightly dusted lamps (cob webs visible from the side) and side furniture, aged and shine less chrome fixtures and counter tops in bath room and also the stainless steel of their side-lamps in the room, hardened pre-deposits on their bath lotion bottle openings (which make one less hesitant to use them), and worst: not properly cleaned bathroom sinks and even the Jacuzzi which had deposits at their drain rims!!! AND aged and soiled commodes from lime water deposits!!!completely unacceptable for any 4-5 standard Property and the money they charge!! made me stay away from the bathroom as best possible when I reserved one with a Jacuzzi hoping to enjoy a nice, clean, fresh bath while enjoy their gorgeous nature view in private. Completely disappointed!! 4) Room power outlets and access to lighting were not easily accessible most of the time. Finding the patio light at the 7th floor luxury suite took us more than 15-20 min of our limited time. And there were no power outlet access to our US electronic appliances.5) Very uncomfortable (hard) furniture cushioning throughout the property including the in-room sofas/ and seats. While one appreciates the eco-friendly attempts and practices of this hotel, it should not compromise on the basic comforts like comfortably cushioning their furniture to enjoy the beautiful serene view everyone comes here to enjoy. 6) Lack of general common sense when preparing their rooms on a cold-rainy day. The coolers were left open even on the cold rainy day we arrived, thus, the in room temperature was not welcoming or cozy for us at all. Even after switching the coolers off, the room continued to retain it's cold temperature due to cold climate created through rain during many weeks of continuous rain in the area. It was made worse, since we were stuck in the hotel room, due to the nearby hiking surrounding was inaccessible due to flooding from the torrential rains as well. Although the hotel generally resides in a more arid region for the most part of the year, they need to make simple adjustments with common sense when exceptional weather arrives. 7) Complimentary services which are promised at the time of online reservation, but are NOT honored when arrived at the property: the spa suite reservation was ""claimed"" to come with one complimentary Head/ neck message each for two of the suite occupants. However, this was not honored nor acknowledged by the front desk staff when we inquired once we arrived at the Hotel. 8) Adding the point above as another example, evident inefficient communication within the Hotel Company! eg. Between their head office reservation executives and the onsite administrative staff. No record of my pre-partial payment for my reservation was available when we checked out at the Hotel. Luckily I had brought a printed copy of my pre-deposit receipt, therefore the transaction ended smoothly with no additional issue. Overall, it was not a 5 Star experience for the money I paid for! The hotel is definitely located in a serene beautiful nature surrounding for which travelers will continue to visit it for. And I will personally recommend anyone try this hotel at least once for that same reason! However, I will also strongly NOT recommend anyone to spend on more than the bare minimum required to stay here as well. If you've already experienced true 5 Star/ Diamond Hotels Internationally, the money you pay here expecting such level of luxury will NOT be delivered here.",Negative,TripAdvisor
Beautiful architecture in a unique location. You live in the middle of the jungle and can observe wild animals every day. Very good food.,Positive,Google Reviews
Had one the worst front desk experience I have ever experienced at Kandalama. Reception staff was very non welcoming... and I was honestly shocked to see such behaviour from a reputed chain as aitken spense. Completely abandoned my enthusiasm to book the place in few minutes. Im glad most of the guys dont do bookings in person. Im pretty sure it wont cross zero.,Negative,Google Reviews
"Your pay for the view, architecture and jungle but the hotel needs much more attention to detail. Food is extortionate in price but not exceptional in taste and given you have very limited choices in where to eat can be frustrating. We found our best and cheapest meal was actually room service. Agree with another review here that more could be made of the bar/lounge/pool areas. As they lack atmosphere, service and they felt redundant. The pools were beautiful but also lacked any shade or service and felt very much on display to bus loads of tourists and guests. The rooms and views were amazing. Loved the glass shower with panoramic views. The spa was also a highlight with amazing massages however we continued to get touted for more massages by the very people that had massaged us. At this price I'd expect a bit more attention to detail, service and looking after the guests.",Negative,TripAdvisor
"fantastic location, great pools, superb food. we even got an upgrade. we loved the monkeys everywhere",Positive,Booking.com
Amazing building with fantastic design. in keeping with the landscape and heritage. Loved the staff and food.,Positive,Booking.com
"We had the pleasure of staying here for 3 nights as part of our honeymoon. It was truly excellent. The location is very unique and you do feel pert of the jungle, the hotel itself is very well made and eco friendly.

The hotel staff were very friendly and accommodating. The room itself was great, we even had monkeys on the patio at various points but make sure you keep your doors locked to the balcony.

The food was amazing. We had half board which included breakfast and dinner and we never got bored. The lunch options were plentiful and reasonably priced. The hotel itself wasn't too far from Sigiriya (30 mins) or safari parks (40 mins) which was great.

Would truly recommend this hotel to anyone visiting Dambulla, thank you so much to the team at Heritance Kandalama for making our honeymoon special!",Positive,Google Reviews
